row_type,event_id,event_type,event_label_ko,count,frame,time_sec,team_id,team_name,shot_made_count,shot_missed_count,pass_count,rebound_count,steal_or_block_count,shot_success_rate_pct,possession_frame_count,possession_time_sec,possession_pct,player_track_id,secondary_track_id,confidence,details
event,E00040,pass,패스,,4331,144.367,2,team_2,,,,,,,,,,5476,5594,0.59,stable_possession_changed_same_team;gap_frames=1;left_frames=29;right_frames=6
event,E00041,shot_made,슛성공,,4404,146.8,2,team_2,,,,,,,,,,5899,,0.45,ball_crossed_rim_zone
event,E00042,steal_or_block,스틸/블락,,4697,156.567,2,team_2,,,,,,,,,,6166,6148,0.55,stable_possession_changed_opponent_team;gap_frames=1;left_frames=57;right_frames=6
event,E00043,shot_missed,슛실패,,4938,164.6,2,team_2,,,,,,,,,,6416,,0.405,near_rim_no_make_detected
event,E00044,pass,패스,,4976,165.867,2,team_2,,,,,,,,,,6141,6416,0.65,stable_possession_changed_same_team;gap_frames=1;left_frames=49;right_frames=10
event,E00045,rebound,리바운드,,4976,165.867,2,team_2,,,,,,,,,,6141,,0.5,offensive_rebound_after_missed_shot_frame=4938
event,E00046,steal_or_block,스틸/블락,,5030,167.667,1,team_1,,,,,,,,,,6138,6141,0.595,stable_possession_changed_opponent_team;gap_frames=45;left_frames=10;right_frames=9
event,E00047,pass,패스,,5062,168.733,1,team_1,,,,,,,,,,6548,6547,0.65,stable_possession_changed_same_team;gap_frames=1;left_frames=10;right_frames=24
event,E00048,pass,패스,,5086,169.533,1,team_1,,,,,,,,,,6542,6548,0.68,stable_possession_changed_same_team;gap_frames=1;left_frames=24;right_frames=17
event,E00049,shot_missed,슛실패,,5223,174.1,,,,,,,,,,,,,,0.345,near_rim_no_make_detected
event,E00050,rebound,리바운드,,5248,174.933,2,team_2,,,,,,,,,,7120,,0.5,defensive_rebound_after_missed_shot_frame=5223
event,E00051,shot_made,슛성공,,5287,176.233,2,team_2,,,,,,,,,,7070,,0.595,ball_crossed_rim_zone
event,E00052,shot_missed,슛실패,,5413,180.433,2,team_2,,,,,,,,,,7449,,0.486,near_rim_no_make_detected
event,E00053,rebound,리바운드,,5415,180.5,2,team_2,,,,,,,,,,7449,,0.5,offensive_rebound_after_missed_shot_frame=5413
event,E00054,steal_or_block,스틸/블락,,5441,181.367,1,team_1,,,,,,,,,,7496,7449,0.55,stable_opponent_possession_after_missed_shot_or_block;gap_frames=19;left_frames=6;right_frames=6
event,E00055,shot_missed,슛실패,,5490,183.0,2,team_2,,,,,,,,,,7542,,0.375,near_rim_no_make_detected
event,E00056,pass,패스,,5970,199.0,2,team_2,,,,,,,,,,8453,8451,0.59,stable_possession_changed_same_team;gap_frames=1;left_frames=13;right_frames=6
event,E00057,shot_made,슛성공,,6041,201.367,2,team_2,,,,,,,,,,8446,,0.618,ball_crossed_rim_zone
